WKT;full_id;osm_id;osm_type;access;bicycle_parking;description;trailer;operator;opening_hours;maxheight;location;supervised;park_ride;covered;wheelchair;addr:street;addr:postcode;addr:housenumber;addr:city;start_date;source:date;ref:bag;old_name;layer;website;surface;note:access;capacity;sport;lit;note:fee;fee:conditional;loc_name;leisure;type;parking;name;fee;amenity
"MULTIPOLYGON Z (((84016.5755527287 446794.405246685 0,84049.3467607836 446816.627369097 0,84053.5057086395 446810.648513707 0,84061.2056001987 446815.590751647 0,84052.670653739 446839.32415946 0,84044.2743135533 446845.763882082 0,84011.2010108271 446823.534967966 0,84003.2411837973 446809.984022639 0,84010.7933071312 446801.163891267 0,84016.5755527287 446794.405246685 0)))";w169454998;"169454998";way;yes;;;;;;;;;;;;;;;;;;;;;http://www.speeltuinwesterhonk.nl/;;;;;;;;;playground;;;Speeltuin Westerhonk;;
"MULTIPOLYGON Z (((83969.6853929849 446908.203517255 0,83962.2420456842 446918.858162317 0,83968.5604719817 446923.241317867 0,83974.5876728696 446927.428338386 0,83982.024325441 446916.784934446 0,83969.6853929849 446908.203517255 0)))";w223279478;"223279478";way;yes;;;;;;;;;;;;;;;;;;;;;;;;"9";;;Parkeergebied C;yes @ (Mo-Sa 12:00-24:00);;;;surface;;no;parking
"MULTIPOLYGON Z (((84044.4213389291 447092.597381559 0,84064.4760054554 447065.306262043 0,84059.5562427132 447061.715381317 0,84050.8894853126 447055.396001297 0,84030.2735157454 447082.327964579 0,84038.1072067609 447088.013782594 0,84044.4213389291 447092.597381559 0)))";w223279480;"223279480";way;yes;;;;;;;;;;;;;;;;;;;;;;;;"26";;;Parkeergebied C;yes @ (Mo-Sa 12:00-24:00);;;;surface;Westerplaats;no;parking
"MULTIPOLYGON Z (((83994.5480982743 446917.129590327 0,83998.194504691 446919.536796036 0,84013.8854968109 446895.378733127 0,84010.0666436455 446892.918334311 0,83994.5480982743 446917.129590327 0)))";w223894949;"223894949";way;yes;;;;;;;;;;;;;;;;;;;;;;;;"15";;;Parkeergebied C;yes @ (Mo-Sa 12:00-24:00);;;;street_side;;no;parking
"MULTIPOLYGON Z (((84840.2373618885 447793.067916784 0,84840.2631448495 447793.924350033 0,84840.3436878405 447794.768885516 0,84840.4722828058 447795.612744851 0,84840.6557942908 447796.455831449 0,84840.9374447207 447797.442191001 0,84841.2232984147 447798.239328663 0,84841.35140031 447798.560215556 0,84841.860990017 447799.643512808 0,84842.1920776965 447800.239724054 0,84842.6486059024 447800.967696923 0,84843.0410048576 447801.529663862 0,84843.5722603263 447802.200949238 0,84844.1373688547 447802.838376681 0,84844.7431950004 447803.441849603 0,84845.3827176692 447804.000339592 0,84846.1949498728 447804.634290169 0,84850.5505010211 447807.744267018 0,84851.7958248902 447808.416634116 0,84852.6041426562 447808.772460254 0,84853.432427905 447809.08349672 0,84854.9627754755 447809.518183057 0,84856.1881088673 447809.745743628 0,84857.0752010639 447809.844536196 0,84858.1401455372 447809.896318055 0,84859.0325371951 447809.883764208 0,84859.9172818043 447809.81568199 0,84860.9794092892 447809.667214108 0,84895.3800037251 447834.253039759 0,84934.9332545361 447862.516559617 0,84960.7965089526 447826.32354325 0,84956.0803376255 447822.951484393 0,84948.3471382225 447817.418628212 0,84944.1927617253 447814.450394391 0,84940.0454011469 447811.493192588 0,84935.8978793139 447808.524869202 0,84931.7434879815 447805.556645729 0,84927.5961126075 447802.599454252 0,84923.4485759516 447799.631141197 0,84919.2941697838 447796.66292807 0,84915.1467796142 447793.705746917 0,84910.9992281352 447790.737444197 0,84906.8516717136 447787.769144913 0,84902.6972457638 447784.800945575 0,84898.5498358652 447781.843778199 0,84894.3120863718 447778.809993873 0,84886.8424205835 447773.473815487 0,84875.2337833492 447789.704773139 0,84862.7982088227 447780.82212808 0,84861.9323102159 447780.277947472 0,84861.3372604439 447779.952501378 0,84860.5768343764 447779.584872846 0,84859.7895758171 447779.262130766 0,84858.8238377147 447778.941899563 0,84857.8384447219 447778.68870837 0,84856.6683335964 447778.482624842 0,84855.8294445023 447778.394281347 0,84854.9844733291 447778.361659656 0,84853.6255966153 447778.4030313 0,84852.2823272932 447778.577710383 0,84851.2897784309 447778.791964418 0,84849.8268596218 447779.246508032 0,84848.4279137476 447779.855933104 0,84847.3923219963 447780.426864583 0,84846.5419179107 447780.984063478 0,84845.9983856932 447781.392290938 0,84845.0960393123 447782.161638113 0,84844.6083632502 447782.635843142 0,84844.0334825793 447783.255929101 0,84842.9880992932 447784.594777548 0,84842.3224371548 447785.594466594 0,84841.7466410297 447786.637400118 0,84841.2540028369 447787.7347997 0,84840.8577820752 447788.85309708 0,84840.6748098001 447789.512177765 0,84840.4303927467 447790.683975236 0,84840.2823929689 447791.876670459 0,84840.2373618885 447793.067916784 0)))";w253796669;"253796669";way;yes;;;;;;;;;;;;;;;;"2009";2013-11-26;"503100000032913";Koepoortgarage;"-1";;;;"337";;;;;;;;underground;Marktgarage;yes;parking
"MULTIPOLYGON Z (((84686.0704784259 447190.786616504 0,84689.1002335042 447191.86774703 0,84689.2396049682 447194.447296608 0,84728.1895547942 447220.392183469 0,84725.304829322 447224.727940606 0,84752.0198377783 447242.522282617 0,84751.5422723807 447243.230024701 0,84749.027297449 447247.00419862 0,84755.8688795165 447251.558998672 0,84758.8614230516 447247.077086756 0,84777.2374922475 447259.325273463 0,84780.1222413205 447254.989546283 0,84787.069895932 447259.765439124 0,84786.6260273316 447260.428194497 0,84828.9713413653 447288.629379337 0,84832.7768477314 447291.168471809 0,84867.8864526337 447238.476819729 0,84823.6969104766 447209.032752853 0,84793.696150429 447189.036588916 0,84790.0916804765 447186.639348202 0,84790.1186722261 447186.605586539 0,84789.2173975606 447185.995151754 0,84751.18923492 447160.648802165 0,84719.7328153672 447139.727766139 0,84684.9276224764 447116.55080665 0,84684.8867431584 447116.573637481 0,84685.337034113 447124.64564815 0,84686.088864076 447138.032217236 0,84688.6332400729 447183.584553837 0,84686.0704784259 447190.786616504 0)))";w254135532;"254135532";way;yes;;;;;;;;;;;;Zuidwal;2611DD;"14";Delft;"2003";2013-11-26;"503100000025718";;"-1";;;;"810";;;;;;;;underground;Zuidpoortgarage;yes;parking
"MULTIPOLYGON Z (((84132.7617809173 447458.184155283 0,84135.6307846187 447460.035013707 0,84135.751509471 447459.833007633 0,84136.27144648 447460.181690505 0,84140.3409040423 447462.916798651 0,84147.4040291913 447467.578894387 0,84150.2439812265 447469.318901392 0,84150.1566327411 447469.453669414 0,84150.8764437601 447469.855150098 0,84151.8540790034 447468.105409483 0,84153.1552940884 447468.832447199 0,84155.2387368808 447470.004588741 0,84162.2364869547 447473.93323579 0,84184.9125147014 447433.541948467 0,84187.5043665835 447428.931844643 0,84180.991397026 447425.296712207 0,84180.6779415803 447423.531932373 0,84179.6173044295 447417.504903109 0,84171.9560165848 447413.274092756 0,84167.0058411182 447415.247165538 0,84164.7458201376 447416.147194376 0,84158.2390499636 447412.467494059 0,84135.830621915 447452.354374726 0,84132.9509063209 447457.480451011 0,84133.1102252199 447457.578332 0,84132.9225891917 447457.903688763 0,84132.7617809173 447458.184155283 0)))";w254135533;"254135533";way;yes;;;;;;;;;;;;;;;;"2001";2013-11-26;"503100000031816";;"-1";;;;"202";;;;;;;;underground;Phoenixgarage;yes;parking
"MULTIPOLYGON Z (((83681.5173323476 446898.128851857 0,83688.4743985861 446902.491397554 0,83695.1751910939 446906.701835295 0,83697.5589490867 446902.917869019 0,83683.9079502329 446894.344780889 0,83681.5173323476 446898.128851857 0)))";w306521892;"306521892";way;yes;;;;;;;;;;;;;;;;;;;;;;;;"6";;;Parkeergebied C;yes @ (Mo-Sa 12:00-24:00);;;;street_side;;no;parking
"MULTIPOLYGON Z (((83632.9362149641 447637.340247464 0,83644.2484175513 447633.751152017 0,83626.0036978718 447576.584445639 0,83614.6913766276 447580.173581719 0,83632.9362149641 447637.340247464 0)))";w330719104;"330719104";way;yes;;;;;;;;;;;yes;;;;;;;;;;;;;;;;Parkeergebied C;yes @ (Mo-Sa 12:00-24:00);;;;surface;;no;parking
"MULTIPOLYGON Z (((83548.0851201102 446791.570233554 0,83568.2506837431 446804.723096541 0,83568.7913261226 446805.071425381 0,83558.375263795 446820.531729403 0,83556.087850891 446824.325510083 0,83536.4272339829 446810.464443962 0,83548.0851201102 446791.570233554 0)))";w331442352;"331442352";way;yes;;;;;;;;no;no;yes;;;;;;;;;;;;;;;;;;;;;;surface;;no;parking
