WKT;identificatie;rdf_seealso;bouwjaar;status;gebruiksdoel;oppervlakte_min;oppervlakte_max;aantal_verblijfsobjecten;fuuid
"POLYGON ((79572.639 454229.225,79577.612 454217.635,79580.414 454210.714,79582.658 454206.07,79592.317 454210.446,79591.08 454212.925,79592.824 454213.72,79598.095 454216.125,79601.177 454217.429,79602.206 454215.171,79609.736 454218.267,79608.777 454220.363,79625.066 454227.709,79629.916 454230.671,79632.51 454232.197,79633.155 454232.677,79635.264 454234.079,79631.162 454242.437,79625.726 454253.023,79615.937 454247.253,79572.639 454229.225),(79583.882 454220.78,79585.899 454221.477,79586.003 454219.969,79584.507 454219.336,79583.882 454220.78))";"0518100000270539";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000270539;"1904";Pand in gebruik;"winkelfunctie,woonfunctie";"47";"1474";"18";pand.c587abe3-50a6-4d05-8dbb-2126172e51f9
"POLYGON ((80616.101 454716.624,80611.697 454712.994,80620.727 454701.078,80622.155 454701.987,80622.998 454700.946,80626.066 454703.111,80616.101 454716.624))";"0518100000268734";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000268734;"1800";Pand in gebruik;woonfunctie;"93";"106";"2";pand.c9739e78-7eb4-47ec-94da-af36acb65ff8
"POLYGON ((79903.477 454913.905,79901.807 454912.631,79903.718 454910.236,79905.422 454911.485,79903.477 454913.905))";"0518100000264395";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000264395;"2012";Pand in gebruik;;;;"0";pand.592bad93-adfd-408b-812c-fd5d39ffa602
"POLYGON ((79901.532 454916.325,79899.896 454915.025,79901.807 454912.631,79903.477 454913.905,79901.532 454916.325))";"0518100000264396";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000264396;"2012";Pand in gebruik;;;;"0";pand.98772c88-2cbf-4fbc-b3a1-d941b6b63de7
"POLYGON ((80253.036 454456.988,80250.508 454458.1,80248.317 454452.798,80250.847 454451.747,80253.036 454456.988))";"0518100000265860";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000265860;"1905";Pand in gebruik;;;;"0";pand.1423bc2f-7bf5-4374-9258-6b282783dfe9
"POLYGON ((80340.557 454101.072,80335.194 454110.294,80328.163 454105.703,80325.912 454104.204,80324.54 454106.601,80313.035 454099.127,80314.542 454096.759,80318.236 454090.992,80318.229 454090.937,80320.815 454090.239,80320.878 454090.222,80320.901 454090.286,80325.877 454093.03,80327.432 454093.888,80330.571 454095.619,80340.557 454101.072))";"0518100000268741";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000268741;"1938";Pand in gebruik;woonfunctie;"41";"100";"11";pand.483f2b45-cf9f-4f05-ae5b-a963dcb2f010
"POLYGON ((80321.07 454172.543,80318.485 454171.008,80319.703 454168.908,80322.31 454170.456,80321.07 454172.543))";"0518100000267321";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000267321;"1940";Pand in gebruik;;;;"0";pand.a27e5ea6-3cb0-4e81-a4a2-136b112dd8bd
"POLYGON ((80311.678 454168.292,80309.136 454166.763,80310.313 454164.805,80312.856 454166.334,80311.678 454168.292))";"0518100000267322";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000267322;"1940";Pand in gebruik;;;;"0";pand.cdb924bd-a57a-4f4e-9823-898372c06902
"POLYGON ((79897.294 454921.532,79895.611 454920.233,79897.557 454917.844,79899.255 454919.111,79897.294 454921.532))";"0518100000264397";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000264397;"2012";Pand in gebruik;;;;"0";pand.17b04580-8398-4626-a15c-2c83ad296fe6
"POLYGON ((79411.195 454410.936,79409.191 454410.586,79407.977 454410.393,79408.038 454410.025,79409.262 454402.596,79410.676 454402.814,79412.636 454403.187,79411.195 454410.936))";"0518100000264760";http://bag.basisregistraties.overheid.nl/bag/id/pand/0518100000264760;"1904";Pand in gebruik;;;;"0";pand.21e43e63-4d72-4374-acb4-5aede091b2c1
