;Daylight;Closeness to ground;Closeness to facade;Sound;Prox. Main road;neededvoxels
Elderly units;0.9;0.5;0.9;0.5;0;2500
Starter units;0.8;0;0.8;0.2;0;2500
Student units;0.7;0;0.6;0;0;3000
Elderly care centre;0.4;0.5;0;0.5;0.3;85
Workspaces (3 types. atlier etc.);0.7;0;0;0.2;0;750
Day care;0.4;0.3;0;0;0;250
Playground (In- & Outside);0.5;0.9;0;0;0;1000
Spa/gym;0.4;0.1;0;0.1;0.6;300
Supermarket;0;0.9;0.2;0.1;0.5;300
Cafe + restaurant;0.5;0;0.5;0;0;250
Library;0.7;0.5;0;0.5;0;750
Atrium;0.3;0;0;0;0;2500
;;;;;;14185
