WKT;full_id;osm_id;osm_type;highway;surface:lanes:forward;surface:lanes:backward;embedded_rails:lanes:forward;embedded_rails:lanes:backward;parking:condition:right;canoe;taxi;bus:lanes:forward;access:lanes:forward;embankment;emergency;survey:date;oneway:psv;oneway:bus;alt_name;motorcar;hazard;office;parking:condition:both;temporary;surface:lanes;sidewalk:right;sidewalk:left;parking:lane:right:capacity;covered;tunnel;maxweight:signed;cycleway:lane;maxaxleload;year_of_construction;construction;traffic_sign:backward;oneway:motorcycle;moped;traffic_calming;wikimedia_commons;mofa;abutters;embedded_rails;bus;bicycle:forward;noexit;maxlength;psv;incline;horse;sidewalk:both;parking:lane:right;bicycle:backward;name:etymology:wikidata;bus:lanes:backward;access:lanes:backward;bridge;source:date;traffic_sign;short_name;parking:lane:both;parking:lane:left;maxweight:destination;maxweight;postal_code;old_name;description;noname;turn:lanes:backward;hgv;wikipedia;wikidata;service;url;source:maxspeed;cycleway:left:oneway;name:zh;turn:lanes:forward;sidewalk:left:surface;motor_vehicle;layer;mapillary;lanes:backward;image;source:width;sidewalk:right:surface;cycleway:both:lane;smoothness;width;sidewalk:both:surface;embedded_rails:lanes;bus:lanes;access:lanes;junction;cycleway:left:lane;cycleway:right:lane;lane_markings;cycleway:both;ele;cycleway:right;cycleway:left;maxheight;access;cycleway;maxspeed:type;turn:lanes;foot;sidewalk;lit;lanes:forward;lanes;bicycle;oneway:moped;oneway:mofa;cyclestreet;zone:traffic;surface;oneway:bicycle;oneway;maxspeed;name
"LINESTRING Z (87716.2308490946 454078.460274409 0,87691.3453797607 454108.317186413 0,87650.8115470549 454154.331219027 0,87601.356932695 454212.962238929 0,87595.8501950898 454219.501715261 0,87581.3867721073 454236.054594979 0,87563.8363013335 454255.531289526 0,87542.6883855113 454279.730231858 0,87529.4390493314 454295.27649432 0,87519.9915739351 454306.498399331 0,87496.0709676778 454334.017668766 0,87480.3463035684 454352.067881695 0,87473.925968327 454360.989990797 0)";w7447220;"7447220";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;no;"30";Kampioensingel
"LINESTRING Z (88051.0541663464 454221.403447312 0,88010.4346754816 454269.374056462 0)";w7447223;"7447223";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Arenastraat
"LINESTRING Z (87935.4109801651 454072.220005646 0,87937.922679346 454072.876053557 0,87939.8461570567 454074.152022889 0,87941.8115948256 454076.506765883 0,87962.9992082657 454106.476236019 0,87992.9734473146 454149.40196318 0,88003.7495045594 454162.409262068 0,88027.5006182597 454192.867473722 0,88051.0541663464 454221.403447312 0)";w7447257;"7447257";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Arenastraat
"LINESTRING Z (87665.8665045245 454268.659929049 0,87660.2816262683 454275.000101468 0,87639.1302428763 454299.476855262 0,87634.1678668998 454305.19663749 0)";w7447268;"7447268";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Gymnastiekplein
"LINESTRING Z (87601.356932695 454212.962238929 0,87629.2963204643 454237.075008097 0,87646.5234120597 454251.952629542 0,87665.8665045245 454268.659929049 0,87715.3127035644 454311.354034163 0,87738.9497388453 454331.764565675 0,87754.0877123688 454344.823663819 0,87766.4993806952 454355.549536096 0,87796.1786294596 454381.175272651 0,87800.1261117767 454384.582538625 0)";w7447281;"7447281";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Bekerstraat
"LINESTRING Z (87947.1538860492 454204.319695591 0,87943.2778638836 454210.291580031 0,87913.8826409297 454243.913486755 0,87890.2752386444 454271.448849223 0,87887.1197518675 454275.419296244 0,87883.0100332455 454279.814318498 0,87846.1754095124 454323.050721422 0,87796.1786294596 454381.175272651 0,87791.4570987923 454386.457684098 0,87776.1935154672 454404.189160363 0,87759.2964278002 454423.823251414 0,87738.3355173835 454448.174619139 0,87715.8896451414 454474.248616811 0,87699.3434980541 454493.433089107 0,87679.2532182762 454516.715860721 0,87663.2337895327 454535.281338118 0,87636.811808153 454565.904899712 0,87633.0692580842 454572.06439657 0)";w7447284;"7447284";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Sportsingel
"LINESTRING Z (87810.4306089971 453754.543603348 0,87814.2236223231 453760.189537412 0)";w7447328;"7447328";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;asphalt;;;"30";Veenweg
"LINESTRING Z (87431.9763923441 453910.395054929 0,87456.456016459 453931.527246593 0,87471.1797355606 453944.235061081 0,87476.2033017668 453948.573293821 0,87499.2947471875 453968.500527297 0,87516.8075546543 453983.618641577 0,87540.8145238401 454004.334811095 0)";w7447733;"7447733";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Zevensterveld
"LINESTRING Z (87426.9954108135 453666.698802953 0,87476.6110960241 453686.922503316 0,87556.8201773775 453720.941582406 0)";w7447735;"7447735";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;;"30";Klaproosveld
"LINESTRING Z (88097.4556628447 452828.234900724 0,88102.5896214775 452832.071562592 0,88109.1337333626 452836.723824263 0,88114.8646339121 452842.110283585 0,88119.4042272242 452847.145553331 0,88122.7598393711 452852.374763286 0,88125.5644475563 452857.433340677 0,88128.0227805082 452863.776194559 0,88130.7651210115 452870.838501738 0,88132.8550607853 452876.81910846 0,88134.4954000962 452883.540146686 0)";w7447746;"7447746";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Goudvisplein
