WKT;full_id;osm_id;osm_type;highway;surface:lanes:forward;surface:lanes:backward;embedded_rails:lanes:forward;embedded_rails:lanes:backward;parking:condition:right;canoe;taxi;bus:lanes:forward;access:lanes:forward;embankment;emergency;survey:date;oneway:psv;oneway:bus;alt_name;motorcar;hazard;office;parking:condition:both;temporary;surface:lanes;sidewalk:right;sidewalk:left;parking:lane:right:capacity;covered;tunnel;maxweight:signed;cycleway:lane;maxaxleload;year_of_construction;construction;traffic_sign:backward;oneway:motorcycle;moped;traffic_calming;wikimedia_commons;mofa;abutters;embedded_rails;bus;bicycle:forward;noexit;maxlength;psv;incline;horse;sidewalk:both;parking:lane:right;bicycle:backward;name:etymology:wikidata;bus:lanes:backward;access:lanes:backward;bridge;source:date;traffic_sign;short_name;parking:lane:both;parking:lane:left;maxweight:destination;maxweight;postal_code;old_name;description;noname;turn:lanes:backward;hgv;wikipedia;wikidata;service;url;source:maxspeed;cycleway:left:oneway;name:zh;turn:lanes:forward;sidewalk:left:surface;motor_vehicle;layer;mapillary;lanes:backward;image;source:width;sidewalk:right:surface;cycleway:both:lane;smoothness;width;sidewalk:both:surface;embedded_rails:lanes;bus:lanes;access:lanes;junction;cycleway:left:lane;cycleway:right:lane;lane_markings;cycleway:both;ele;cycleway:right;cycleway:left;maxheight;access;cycleway;maxspeed:type;turn:lanes;foot;sidewalk;lit;lanes:forward;lanes;bicycle;oneway:moped;oneway:mofa;cyclestreet;zone:traffic;surface;oneway:bicycle;oneway;maxspeed;name
"LINESTRING Z (78566.7635161221 454276.628502683 0,78645.2617747398 454144.485402652 0,78699.2291115395 454055.838980773 0)";w7491154;"7491154";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;NL:urban;paving_stones;no;yes;"30";Valkenboskade
"LINESTRING Z (78425.1473138281 453977.569956555 0,78551.148396136 454043.934434459 0)";w7491156;"7491156";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;NL:urban;;no;yes;"30";Heesterstraat
"LINESTRING Z (78699.2291115395 454055.838980773 0,78626.2230756323 454020.526844871 0)";w7491158;"7491158";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Hulststraat
"LINESTRING Z (78299.4068789583 454098.804801616 0,78305.3950228681 454102.462537852 0,78314.9007558053 454109.215200656 0,78323.2330711428 454117.254502744 0,78330.4924060856 454126.86820889 0,78332.1919583664 454132.138769792 0,78333.6849680347 454138.692186478 0,78333.9359995012 454152.764735296 0,78334.2485661782 454165.935000934 0,78335.4971451325 454174.428385573 0)";w7491160;"7491160";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;NL:urban;paving_stones;no;yes;"30";Mient
"LINESTRING Z (78645.2617747398 454144.485402652 0,78653.3855288938 454148.355600027 0)";w7491163;"7491163";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;asphalt;;;;
"LINESTRING Z (78357.2702877803 454111.678382771 0,78363.1930821702 454114.21330612 0,78396.7824534746 454130.777144389 0,78485.6161880372 454174.600018539 0,78532.9730132522 454199.999885348 0)";w7491164;"7491164";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;NL:urban;;no;yes;"30";Rhododendronstraat
"LINESTRING Z (78485.6161880372 454174.600018539 0,78504.5240733402 454133.671440248 0,78527.9838317287 454087.265002014 0)";w7491165;"7491165";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;NL:urban;;no;yes;;Laurierstraat
"LINESTRING Z (78357.2702877803 454111.678382771 0,78330.4924060856 454126.86820889 0)";w7491175;"7491175";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL:urban;paving_stones;;;"30";Rabarberstraat
"LINESTRING Z (78346.7215637494 453302.263902827 0,78345.9557279258 453308.206697259 0,78337.7473531991 453370.658698343 0,78310.7360966533 453419.045729319 0,78231.873243338 453545.11273741 0,78228.5148851804 453549.259479521 0,78225.7561120389 453550.481547521 0,78219.5748252913 453551.689633883 0,78216.7651484976 453553.168426719 0,78213.8418403684 453555.728350645 0,78182.4583742104 453590.852709681 0,78173.3072785578 453602.711281918 0,78168.3127603743 453610.154830423 0)";w7491179;"7491179";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;"30";Medemblikstraat
"LINESTRING Z (78204.3073366752 453261.72858123 0,78211.7728196285 453210.793726637 0,78224.6229170716 453207.023604241 0)";w7491185;"7491185";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;yes;"30";Heiloostraat
"LINESTRING Z (78224.6229170716 453207.023604241 0,78222.592560923 453211.461438674 0,78214.4717830506 453263.051781345 0)";w7491187;"7491187";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;yes;"30";Heiloostraat
"LINESTRING Z (78201.4082997508 453281.435753703 0,78203.3256679029 453267.89728145 0)";w7491188;"7491188";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;use_sidepath;;;;;;yes;yes;;Heiloostraat
"LINESTRING Z (78213.6512462311 453269.440546104 0,78211.8060184318 453282.766476994 0)";w7491189;"7491189";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;use_sidepath;;;;;;yes;yes;;Heiloostraat
"LINESTRING Z (78348.6413831975 453287.968780243 0,78346.7215637494 453302.263902827 0)";w7491190;"7491190";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LINESTRING Z (78689.179810833 453278.052976626 0,78690.9618774731 453281.108000278 0,78716.4887122972 453324.904404811 0,78719.21323597 453329.93683322 0,78740.5989208347 453369.379159081 0)";w7491193;"7491193";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Breukelensestraat
"LINESTRING Z (77944.7696683618 453379.373647927 0,78034.345123643 453439.879821916 0,78104.7280891137 453483.035591791 0,78108.0792445213 453485.086949923 0)";w7491197;"7491197";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Den Helderstraat
"LINESTRING Z (78582.6385743365 453431.411586886 0,78630.73459741 453454.953962757 0,78687.8816077775 453482.864719942 0,78732.2014844056 453504.4184674 0)";w7491198;"7491198";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Loosdrechtsestraat
"LINESTRING Z (78251.0507737661 453383.277784329 0,78164.3866324304 453520.627124803 0)";w7491202;"7491202";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Hoogkarspelstraat
"LINESTRING Z (78585.5274842341 453757.238444518 0,78605.1824239543 453714.774376073 0,78584.9227004173 453704.881322685 0,78583.3643352812 453702.991299136 0,78582.945390874 453700.271472228 0,78583.5391302802 453697.847672939 0,78607.25271712 453649.468215732 0,78627.8353353875 453606.633938141 0)";w7491203;"7491203";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;NL:urban;;no;yes;"30";Spakenburgsestraat
"LINESTRING Z (78203.5311757965 453353.698981245 0,78251.0507737661 453383.277784329 0,78310.7360966533 453419.045729319 0)";w7491206;"7491206";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;"30";Ransdorpstraat
"LINESTRING Z (78337.7473531991 453370.658698343 0,78346.5906737871 453375.730247903 0,78399.1455558592 453405.900576669 0,78436.8115903428 453395.139457962 0,78468.7831080179 453384.688710471 0,78542.3933275382 453418.921186434 0)";w7491207;"7491207";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Wognumstraat
"LINESTRING Z (78740.5989208347 453369.379159081 0,78733.4145984042 453376.766638009 0,78718.2531498942 453403.80523169 0,78715.2621954965 453409.581758518 0)";w7491208;"7491208";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Vlasakkersstraat
"LINESTRING Z (78099.9825473387 453036.780982358 0,78086.0747475476 453042.259151198 0,78051.3952220937 453081.296455148 0,78032.0791710284 453103.405099622 0,77980.9398561239 453160.223355519 0)";w7491241;"7491241";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Nieuwendamlaan
"LINESTRING Z (77967.3875888216 452818.893636356 0,77972.9897773802 452824.092580623 0,77978.4014624392 452828.94952224 0)";w7491276;"7491276";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"left|through;right";use_sidepath;;;;"2";use_sidepath;;;;;asphalt;;yes;"50";Escamplaan
"LINESTRING Z (77030.6223616356 453611.017828921 0,77027.2505152196 453605.918535985 0)";w7491353;"7491353";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;asphalt;;;"30";Monseigneur Nolenslaan
"LINESTRING Z (76825.3058413243 453925.044382775 0,77028.4528886573 454050.037776078 0,77035.7719972245 454054.54111463 0)";w7491355;"7491355";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Laan van Meerdervoort
"LINESTRING Z (76779.3763924087 453996.037097079 0,76995.2523045074 454125.1466397 0,77020.1856819844 454139.978616192 0)";w7491357;"7491357";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Ereprijsweg
"LINESTRING Z (77748.3072058649 452693.774959866 0,77732.7833916377 452721.57889055 0,77711.4269281211 452756.305750981 0)";w7491364;"7491364";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Albert Schweitzerlaan
"LINESTRING Z (77408.6772447441 452671.258650883 0,77404.2380825816 452683.078587966 0,77395.1024238539 452707.367888269 0,77393.8773169804 452710.625118531 0,77379.006533087 452750.270932184 0,77369.2924502515 452776.160553691 0,77366.8348372427 452783.075739039 0,77360.535883651 452800.544166112 0,77351.2955206522 452827.327779805 0,77338.4616001243 452862.947155401 0,77328.4481296681 452890.722107745 0)";w7491367;"7491367";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;;;"30";Architect Berlagelaan
"LINESTRING Z (77348.7300180739 452648.29096532 0,77329.3749464469 452697.721270563 0,77307.7572676507 452752.906562589 0,77337.9867291532 452764.330432448 0,77369.2924502515 452776.160553691 0)";w7491378;"7491378";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Architect Wesstrakade
"LINESTRING Z (77693.020923464 452957.633972149 0,77666.4316623535 452999.385940293 0,77652.1829185584 453021.751212005 0,77647.7206061886 453029.888052409 0,77632.6343700351 453029.243361516 0,77618.8697754695 453035.521807995 0,77610.8438350532 453048.265261402 0)";w7491382;"7491382";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Salvador Allendestraat
"LINESTRING Z (77160.0040185039 453772.870041666 0,77090.690692046 453893.009067349 0,77072.4901791739 453924.57378474 0)";w7491394;"7491394";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;paving_stones;;no;"30";Mandarijnstraat
"LINESTRING Z (77686.0703980564 453053.350325017 0,77708.2877813774 453066.670098462 0,77710.7401868368 453073.097171993 0,77690.5876907808 453107.505038749 0)";w7491407;"7491407";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Oscar Romeroplein
"LINESTRING Z (77347.5754653529 452897.556589138 0,77345.4195995019 452904.021977385 0,77328.6699394994 452939.680201488 0,77319.8622105903 452951.078758569 0,77310.072159575 452964.139547923 0,77301.1304064263 452975.295423615 0)";w7491411;"7491411";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;;;"30";Architect de Bazelstraat
"LINESTRING Z (77621.3318534054 452911.032315018 0,77605.5714533205 452935.880410326 0,77566.1887479792 452996.926785124 0,77553.2282904543 452998.018565204 0,77536.7349594749 452988.059977604 0,77501.7771626147 452965.347226377 0)";w7491419;"7491419";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;asphalt;no;yes;"30";Albert Schweitzerlaan
"LINESTRING Z (77515.2158659413 452945.175134311 0,77545.7153313347 452964.363109861 0,77558.3175091911 452964.044689805 0,77600.6961567389 452898.033283703 0)";w7491422;"7491422";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;asphalt;no;yes;"30";Albert Schweitzerlaan
"LINESTRING Z (77394.8978406664 453785.972086716 0,77429.5387053236 453727.935697825 0,77435.1335298994 453717.722375907 0)";w7491429;"7491429";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;yes;"30";Abrikozenstraat
"LINESTRING Z (77649.9768652299 454109.577301158 0,77582.915918047 454069.848172886 0,77461.1873580562 453997.732917657 0)";w7491434;"7491434";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Meloenstraat
"LINESTRING Z (77625.9915775518 453833.105768157 0,77622.2885274267 453839.739753428 0,77584.7516911788 453898.621006262 0)";w7491435;"7491435";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;"30";Perenstraat
"LINESTRING Z (77537.9811123103 453870.861834735 0,77420.481693134 453801.152014591 0,77408.1466410041 453793.833104427 0,77394.8978406664 453785.972086716 0,77285.174865098 453720.873415377 0)";w7491436;"7491436";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;no;no;;;paving_stones;no;yes;"30";Perenstraat
"LINESTRING Z (77251.6698397488 453777.324103817 0,77256.7816213905 453780.560309322 0,77365.6381249833 453849.522017646 0,77370.5490174594 453852.639066173 0,77378.1212516357 453857.105576031 0,77494.5005593546 453925.830340114 0,77502.0175470751 453930.286766916 0,77671.2100532457 454032.02165291 0,77682.2572707024 454039.494732145 0,77685.9683994874 454050.164124576 0)";w7491437;"7491437";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;"30";Vlierboomstraat
"LINESTRING Z (76930.6786568473 453838.130587604 0,76951.2850602259 453804.769453384 0,76963.7222670689 453792.311797208 0,77066.0009819341 453704.559279066 0,77086.2492595531 453692.480411635 0)";w7491441;"7491441";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;no;no;;;paving_stones;no;yes;"30";Ananasstraat
"LINESTRING Z (77537.9811123103 453870.861834735 0,77502.0175470751 453930.286766916 0,77494.101464449 453943.362579225 0,77461.1873580562 453997.732917657 0,77426.2087077321 454055.551851254 0,77390.4481733004 454114.629538483 0,77352.3957867229 454177.515527244 0)";w7491443;"7491443";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paving_stones;;no;"30";Frambozenstraat
"LINESTRING Z (77086.6945951351 454120.098022527 0,77094.7410153679 454122.008444709 0,77180.8852570715 454173.283638845 0)";w7491445;"7491445";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Fuchsiastraat
"LINESTRING Z (77100.6801655098 454306.512207179 0,77152.0843130751 454221.115540772 0,77180.8852570715 454173.283638845 0,77210.0156997599 454126.314725641 0)";w7491447;"7491447";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;paving_stones;no;yes;"30";Kamillestraat
"LINESTRING Z (77231.0129259291 453789.586724977 0,77230.4397279684 453791.965867827 0,77224.6762582509 453802.326725225 0,77201.5150113369 453843.905437695 0,77183.5372870447 453876.178416673 0,77149.7637992834 453936.806914001 0,77135.262047688 453962.838751132 0,77099.8325936366 454019.676736556 0)";w7491448;"7491448";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lane;;;;;;;;;;;;;asphalt;;;"30";Appelstraat
"LINESTRING Z (77679.2930649346 454053.071970589 0,77501.0367950733 453947.460848495 0,77494.101464449 453943.362579225 0,77370.9659049411 453868.378174992 0,77363.5643933955 453863.864503056 0,77357.909213386 453860.514261876 0,77247.9734078546 453795.33072481 0,77244.5807787734 453793.269461789 0,77239.415620134 453789.689145649 0)";w7491455;"7491455";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;"30";Vlierboomstraat
"LINESTRING Z (77755.9736558037 454089.203536178 0,77763.5427228699 454086.882817072 0,77773.7638405926 454092.399323107 0,77798.122822685 454105.274472878 0,77803.4180740363 454109.331825868 0,77817.0079561183 454177.322295976 0,77853.5949742706 454199.600127581 0)";w7491456;"7491456";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;paving_stones;;yes;"30";Vlierboomstraat
"LINESTRING Z (77118.1370847965 453744.036587254 0,77038.8227373342 453811.454205673 0,76997.5102215268 453878.867297163 0)";w7491458;"7491458";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;paving_stones;;no;"30";Sinaasappelstraat
"LINESTRING Z (77194.5393802607 453997.84307094 0,77263.6951979177 453880.734672362 0)";w7491459;"7491459";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;no;no;;;paving_stones;no;yes;"30";Aardbeistraat
"LINESTRING Z (77600.6961567389 452898.033283703 0,77628.285051337 452854.395999126 0,77654.1333536697 452815.693192063 0)";w7491482;"7491482";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Albert Schweitzerlaan
"LINESTRING Z (77328.4481296681 452890.722107745 0,77347.5754653529 452897.556589138 0,77386.887019813 452909.951874046 0,77413.55146541 452919.362014228 0)";w7491486;"7491486";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Architect Dudoklaan
"LINESTRING Z (77454.2807894735 452934.729063333 0,77462.9851119491 452939.133581731 0)";w7491489;"7491489";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;;;"30";Architect Dudoklaan
"LINESTRING Z (77679.2797234541 452821.433968153 0,77652.4047336185 452862.055411096 0)";w7491496;"7491496";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;no;;;;no;yes;"30";Albert Schweitzerlaan
"LINESTRING Z (77686.0703980564 453053.350325017 0,77665.4635210443 453084.994574037 0,77666.2069899909 453093.117312079 0,77690.5876907808 453107.505038749 0)";w7491506;"7491506";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"30";Oscar Romeroplein
"LINESTRING Z (77600.6961567389 452898.033283703 0,77621.3318534054 452911.032315018 0,77665.2697895129 452939.593073769 0,77692.0301092732 452956.992826445 0,77693.020923464 452957.633972149 0,77768.4531931268 453002.876645674 0,77776.1648960085 453007.875735915 0,77789.1492557659 453016.287141878 0,77810.1224346762 453029.882595383 0,77863.4934441228 453064.463528552 0,77867.9228248804 453067.021025082 0,77874.2471768833 453071.02914356 0)";w7491507;"7491507";way;residential;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;"30";Laan van de Mensenrechten
