WKT;full_id;osm_id;osm_type;highway;sidewalk:left:surface;sidewalk:right:surface;bicycle:backward;destination:lanes;covered;sidewalk:both:surface;cycleway:both;cycleway:left;bicycle:forward;embedded_rails:lanes:forward;embedded_rails:lanes:backward;bus;oneway:bus;bus:lanes:forward;bus:lanes:backward;access:lanes:forward;access:lanes:backward;sidewalk:right;sidewalk:left;lanes:backward;destination:symbol:name;description;traffic_sign;placement:forward;destination:symbol;maxweight:signed;source:width;mapillary;image;embedded_rails:lanes;shoulder;mofa;motor_vehicle;loc_name;psv:lanes;carriageway_ref;voltage;cycleway;embedded_rails;tunnel;smoothness;change:lanes;wikidata;name:etymology:wikidata;placement;width;lane_markings;layer;bridge;priority_road;old_name;agricultural;destination:colour;destination;sidewalk;cycleway:right:lane;cycleway:right;operator;bus:lanes;access:lanes;zone:traffic;moped;turn:lanes:forward;turn:lanes:backward;ref;lanes:forward;destination:ref;destination:forward;destination:backward;maxheight;junction;turn:lanes;source:maxspeed;surface;oneway;old_ref;name;maxspeed;lit;lanes;foot;bicycle
"LINESTRING Z (79338.7695690158 456249.803938219 0,79340.0719625054 456254.313060792 0,79341.8421194392 456264.790586636 0,79344.4406883517 456285.57079259 0,79345.2715416075 456302.794797347 0,79346.6128800457 456322.937596322 0)";w104054486;"104054486";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Re;;;;;;;;;;;;;;;;;;;;;;Gemeente Den Haag;;;NL:urban;;;;S200;;;;;;;;;asphalt;yes;;Johan de Wittlaan;"50";;"2";;no
"LINESTRING Z (78681.6960266919 455796.530914965 0,78683.168639089 455797.342898277 0,78696.1527920047 455804.521366763 0)";w104054490;"104054490";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;right_of:2;;;;;;;;;;;;;Gemeente Den Haag;;;NL:urban;;;;S200;;;;;;;left|through|through;;asphalt;yes;;President Kennedylaan;"50";;"3";;use_sidepath
"LINESTRING Z (78574.272976 455850.401710306 0,78577.096613592 455842.3241983 0,78581.0574542209 455833.750734154 0,78584.1748851454 455827.393495165 0,78589.2666661323 455817.022250224 0)";w104054492;"104054492";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;yes;;Houtrustweg;"50";;;;use_sidepath
"LINESTRING Z (79576.8767048871 456954.626230409 0,79581.9671265491 456958.577233893 0,79583.6398763367 456959.965075694 0,79584.5760262725 456960.685303009 0,79584.8531415961 456960.881398117 0,79584.9922052732 456961.012820787 0,79585.0891450247 456961.078116571 0,79587.2143557309 456962.926458377 0,79592.591362887 456966.795234312 0,79596.0890485426 456969.212535395 0,79612.5664032399 456979.255796337 0)";w104054497;"104054497";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Re;;;;;;;;;;;;;;;;;;;;;;Gemeente Den Haag;;;NL:urban;;;;S200;;;;;;;;;asphalt;yes;;Professor B. M. Teldersweg;"50";;"3";;no
"LINESTRING Z (78689.6548295821 455813.957089325 0,78677.5768988515 455806.864885429 0,78676.3289203859 455805.949309447 0)";w104059826;"104059826";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;right_of:1;;;;;;;;;;;;;Gemeente Den Haag;;;NL:urban;;;;S200;;;;;;;;;asphalt;yes;;President Kennedylaan;"50";;"4";;use_sidepath
"LINESTRING Z (78631.5150328728 455765.653939556 0,78628.4173951431 455778.220051625 0)";w104059828;"104059828";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asphalt;yes;;Houtrustweg;"50";;;;use_sidepath
"LINESTRING Z (78628.4173951431 455778.220051625 0,78623.8331468143 455789.061950182 0,78621.3454740428 455792.238124743 0,78603.0026783997 455818.2467837 0,78599.6109660693 455823.26178021 0)";w104059833;"104059833";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;Houtrustweg;"50";;;;use_sidepath
"LINESTRING Z (78628.4173951431 455778.220051625 0,78617.7744293381 455771.284006208 0)";w104059834;"104059834";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gemeente Den Haag;;;NL:urban;;;;S200;;;;;;;;;asphalt;yes;;Segbroeklaan;"50";;"2";;use_sidepath
"LINESTRING Z (78634.3918498914 455781.577912236 0,78633.0096876235 455780.853575781 0,78628.4173951431 455778.220051625 0)";w104059837;"104059837";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|||yes;;;;;;;;;;right_of:1;;;;;;;;;;;;;Gemeente Den Haag;;yes|yes|yes|no;NL:urban;;;;S200;;;;;;;through|through|right|none;;asphalt;yes;;President Kennedylaan;"50";;"4";;use_sidepath
"LINESTRING Z (79562.1564678073 456974.589810751 0,79556.6204029513 456968.820661301 0,79554.0924711633 456966.177254039 0,79553.0056764251 456965.014213624 0,79552.1149551954 456964.126389184 0,79550.1086128047 456961.530710236 0,79545.9816662721 456955.584411567 0,79535.1431105602 456936.409079936 0,79512.968777887 456895.117217444 0,79509.6438915486 456887.834591879 0)";w104059838;"104059838";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Li;;;;;;;;;right_of:1;;;;;;;;;;;;;Gemeente Den Haag;;;NL:urban;;;;S200;;;;;;;through|through|right;;asphalt;yes;;Johan de Wittlaan;"50";;"3";;no
"LINESTRING Z (79320.335707692 456254.179275391 0,79318.5447861266 456248.19761954 0,79316.5122308269 456242.553467988 0,79307.458272463 456225.042850746 0,79296.1622054067 456206.14203448 0,79289.2360386118 456190.179189277 0)";w104059841;"104059841";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Li;;;;;;;;;;;;;;;;;;;;;;Gemeente Den Haag;;;NL:urban;;;;S200;;;;;;;;;asphalt;yes;;President Kennedylaan;"50";;"2";;no
"LINESTRING Z (78676.3289203859 455805.949309447 0,78649.1134160903 455790.287460322 0,78634.3918498914 455781.577912236 0)";w104059842;"104059842";way;secondary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;|||yes;;;;;;;;;;right_of:1;;;"1";yes;;;;;;;;;Gemeente Den Haag;;yes|yes|yes|no;NL:urban;;;;S200;;;;;;;through|through|right|none;;asphalt;yes;;Houtrustbrug;"50";;"4";;use_sidepath
